baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
leptidea_sinapisG00000003005	14.8872632344549	1.10928022865571	0.706932828427573	1.56914516351302	0.116614118248166	0.515463353250586
leptidea_sinapisG00000000928	18.673024264852	-1.94495850946424	0.568815444051703	-3.41931382103517	0.000627792773148948	0.0595106605938258
leptidea_sinapisG00000010518	44.4243413663685	-1.75339382979124	1.04404296006641	-1.67942689798867	0.093068874746304	0.4752070589359
leptidea_sinapisG00000008362	37.7677272575604	-1.03188648224464	0.35331437605696	-2.92059013777091	0.00349369115741982	0.12742464573743
leptidea_sinapisG00000010774	18.8654896614063	-1.37248619052394	0.510352494709093	-2.68929064666624	0.0071604045061226	0.183125770375059
leptidea_sinapisG00000005524	32.8154050051842	-1.04593750018191	0.414413295188112	-2.52389947988309	0.0116061110059798	0.221986606906137
leptidea_sinapisG00000012923	11.2444564032953	-1.40119942735287	0.68238951459425	-2.05337186077079	0.0400365262424555	0.358892359287775
leptidea_sinapisG00000013529	41.8119946409968	-1.0272124595358	0.490461714778776	-2.09437847763332	0.036226278446329	0.349479396383225
leptidea_sinapisG00000013521	238.438908146925	-1.37145787739496	1.11385679048542	-1.23126948554785	0.218222090620286	0.629128876793228
leptidea_sinapisG00000004723	10.6324488626582	1.02237532524717	0.884023735481715	1.15650212116767	0.247475832445603	0.660654765212202
leptidea_sinapisG00000004728	12.3878337538085	-1.68182764831133	0.8079702494771	-2.08154650421816	NA	NA
leptidea_sinapisG00000005125	12.4433303678543	3.38638310181308	0.73163555146746	4.62851086858878	3.6830453744975e-06	0.00401497983887409
leptidea_sinapisG00000007383	98.8350339325504	1.62268442534092	0.526329650931784	3.08301921137867	0.00204911926005309	0.100446852040965
leptidea_sinapisG00000005889	14.9555603783462	-1.25248793175871	0.511218048825943	-2.45000726135385	0.0142853333810062	0.242850667477105
leptidea_sinapisG00000010189	30.1088468832725	-2.19452643998887	1.16673564931334	-1.88091144834772	0.0599839656231308	0.416828816095079
leptidea_sinapisG00000013062	74.7383729291813	1.03559088560794	0.629734406945643	1.64448833378948	0.100075372128245	0.488297118521368
leptidea_sinapisG00000013203	10.1960636090245	-1.12018461932172	0.527113681424578	-2.12512909225636	0.0335758426619975	0.337344382321751
leptidea_sinapisG00000002514	288.796760145837	-1.42480922301367	0.362533610489606	-3.93014380401708	8.4895072427913e-05	0.0238829008594784
leptidea_sinapisG00000012266	30.7476696756043	-1.19549153332835	0.450390740653329	-2.65434305242196	0.00794629956182853	0.189422494206472
leptidea_sinapisG00000012003	152.600096313313	-1.8999979763434	0.50490768594261	-3.76306011820023	0.000167846832090661	0.031182370553209
leptidea_sinapisG00000009640	109.111007801487	-1.66771439371612	0.612672556697361	-2.72203214504337	0.00648818310097518	0.175148675505754
leptidea_sinapisG00000012734	34.0778218030399	1.27156388249762	0.759857399857037	1.67342435927695	0.0942437857690898	0.476329411367407
leptidea_sinapisG00000008514	2655.41690889351	-1.73797045544634	1.30363977918468	-1.33316770721227	NA	NA
leptidea_sinapisG00000014898	11.0660962840291	-1.19121754072791	0.519515943142024	-2.29293740924185	0.0218516086977151	0.289616838074124
leptidea_sinapisG00000001724	150.884860474407	-1.36764847410062	0.551457774974065	-2.48006018985758	0.0131360206437246	0.234272466327039
leptidea_sinapisG00000008341	18.1215890371619	-1.52701935405403	0.721312736966546	-2.11700040190036	0.0342598136841391	0.340353870153705
leptidea_sinapisG00000010796	10.4764716344672	-1.26678947695409	0.561848205720881	-2.25468278452314	0.0241532470062548	0.301286261002206
leptidea_sinapisG00000005176	29.0588525588156	-1.38862932543122	0.635682837722003	-2.18446879957847	0.0289278175168461	0.318583412029368
leptidea_sinapisG00000013360	79.7402248877785	-1.12081411482358	0.479193806009613	-2.33895785122292	0.019337614970026	0.275630106748123
leptidea_sinapisG00000005549	195.33709579719	-1.01250279562942	0.516680754424979	-1.95962939776273	0.0500391227208913	0.389223963138801
leptidea_sinapisG00000005541	103.125116094364	-1.70207287748136	0.665211288451342	-2.55869511992784	NA	NA
leptidea_sinapisG00000009344	15.269620826271	-1.18630593064656	0.759389904371098	-1.56218291001514	0.118244905444731	0.515517328635425
leptidea_sinapisG00000012010	18.4737337253233	-1.00534178043737	0.345606359970896	-2.90892152714443	0.00362677882334684	0.12857373218865
leptidea_sinapisG00000012946	11.8882531075876	1.20650231604923	0.543727357559609	2.21894723389371	0.026490314546563	0.312191936703481
leptidea_sinapisG00000010898	11.976645634532	-1.00836121679992	0.853944575222388	-1.1808274752929	NA	NA
leptidea_sinapisG00000012447	455.767670523978	-1.30622868594219	1.15726401603468	-1.12872142211588	0.259015369489787	0.671683924270125
leptidea_sinapisG00000002341	122.015267788809	3.31793377841123	0.881782764356803	3.76275644356852	0.000168050844628004	0.031182370553209
leptidea_sinapisG00000012827	92.0355582269406	-1.54568995844735	0.342714589771416	-4.51013760306585	6.47855882526845e-06	0.00513631922865147
leptidea_sinapisG00000011566	48.9079339792596	-4.00767308510143	1.13531630367299	-3.53000575446309	0.000415550628585233	0.0489732031336732
leptidea_sinapisG00000000434	17.3964319027522	-1.56941963656346	0.71322489920353	-2.2004554780912	0.0277745954140879	0.314450466967398
leptidea_sinapisG00000000622	24.8855000897752	-1.49894463972304	0.447152066000183	-3.35220331895421	0.000801711175455968	0.0616649983107688
leptidea_sinapisG00000003822	62.0791687486386	-3.64258797699619	1.2653139061782	-2.87880182080539	0.00399189098883429	0.134218613764726
leptidea_sinapisG00000001282	18.4885849045881	-1.19484038567802	0.466091714091136	-2.56353063046384	0.0103613557935152	0.212760567735807
leptidea_sinapisG00000008758	61.7418995715992	-1.02092279654926	0.532799131256522	-1.91614951424861	0.0553460673564125	0.406114926555056
leptidea_sinapisG00000008750	26.7763147379887	1.48041378111327	0.710315251616256	2.08416442944837	0.0371452130838949	0.352623250189416
