baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
leptidea_sinapisG00000010514	109.673016343426	-2.07454145813846	0.790894431878451	-2.62303206916152	0.00871510688901168	0.793671583999371
leptidea_sinapisG00000014466	4039.01153128128	1.59978521446919	1.2775660743781	1.2522132878708	0.210492155367016	0.96302385764445
leptidea_sinapisG00000008362	23.8767139377758	-1.0896625203581	0.510371634708123	-2.13503738502487	0.0327579565055999	0.903096234934021
leptidea_sinapisG00000005420	11.4896670468157	-1.23903650932447	0.580648997689891	-2.13388211166121	0.0328524321348679	0.903096234934021
leptidea_sinapisG00000005154	20.1954054619625	1.55679841258444	1.25959656537466	1.23595002985848	0.216477138677439	0.96302385764445
leptidea_sinapisG00000005155	14.9781848771773	1.18186890648062	0.531421209056211	2.22397767785668	0.0261499461340995	0.871896756190012
leptidea_sinapisG00000007807	14.0650972706856	-1.14590497824085	0.817687487367224	-1.40139722809066	0.161095320721774	0.957787952889852
leptidea_sinapisG00000006896	10.4676857585605	-1.39673823999546	0.574561063267115	-2.4309657045906	0.0150586398587218	0.821797973034344
leptidea_sinapisG00000012925	14.2778854615577	1.63178701766801	0.704074470660169	2.31763412205243	0.0204692141099611	0.856870086479584
leptidea_sinapisG00000013695	11.6873462847838	1.0690732975814	0.710256873618204	1.50519246950093	0.132274600672705	0.957787952889852
leptidea_sinapisG00000004723	32.9685791310809	1.40079918328614	1.03880530065302	1.34847134723471	0.177506829819043	0.960208173663421
leptidea_sinapisG00000008743	25.8501870319297	-1.85153129555357	1.03930377853864	-1.78151117487227	0.074828980956476	0.955803933352855
leptidea_sinapisG00000013203	14.9477919354721	-1.28612119058279	0.499998043911956	-2.57225244427009	0.0101039186970152	0.819058661940752
leptidea_sinapisG00000002514	533.763748466471	-1.92790289243907	0.316220564873136	-6.09670308195332	1.08278367168974e-09	1.01900771342721e-05
leptidea_sinapisG00000005040	1475.85226011778	-1.9035360516007	2.63175095191721	-0.723296423703766	0.46949778951005	0.983352763754513
leptidea_sinapisG00000012003	34.251285888694	-1.06929001940553	1.01451267777806	-1.05399374776414	0.291885779627291	0.97436691642504
leptidea_sinapisG00000007555	29.2937094089577	1.58851442909515	0.705086729353165	2.25293479931529	0.0242632603016067	0.871532605719161
leptidea_sinapisG00000011359	507.197731697566	1.24199005661356	2.00607927858439	0.619113147656849	0.535841822546117	0.98696021483043
leptidea_sinapisG00000014898	18.9272556285146	-1.06033169140862	0.769796913666054	-1.37741743644949	0.168383225051433	0.957787952889852
leptidea_sinapisG00000001724	37.1972750212342	-1.05980103880279	0.994470837816823	-1.06569343061823	0.286562248288895	0.97436691642504
leptidea_sinapisG00000010577	81.4960006620009	1.29334470444082	0.675924590331711	1.91344526141017	0.0556910747611316	0.948471665047485
leptidea_sinapisG00000008341	11.4168615894852	-1.25571290130667	0.779397362719833	-1.61113311562238	0.107150711911451	0.957787952889852
leptidea_sinapisG00000007828	10.1528690970355	-3.10697150485865	1.01179539164027	-3.07075079658328	0.00213521280351637	0.541734962147505
leptidea_sinapisG00000012635	3404.37195383946	2.5538373546625	1.32963131685723	1.92071089352713	0.0547681654873376	0.948471665047485
leptidea_sinapisG00000009344	10.3363789356153	1.25079767566081	0.510189232669208	2.45163479659672	0.0142208911376794	0.821246219521083
leptidea_sinapisG00000012495	32.3549780427806	-2.72131369578045	1.07858101629588	-2.52304987262442	NA	NA
leptidea_sinapisG00000012447	247.320578530269	-1.46765761200909	1.38194710927044	-1.06202155072628	0.288225901816646	0.97436691642504
leptidea_sinapisG00000000435	721.538127151757	1.01078922243207	0.489907751176063	2.06322357628675	0.0390913911520724	0.932756176748285
leptidea_sinapisG00000007050	18.7140398087723	-2.05071010040836	0.782170645551987	-2.62181930767952	0.00874617885559637	0.793671583999371
leptidea_sinapisG00000008768	15.3235090530031	-1.01508065457037	0.634668455737124	-1.59938727912895	0.109734577061526	0.957787952889852
leptidea_sinapisG00000003421	30.2475663471959	-1.0230376517408	0.581854653667218	-1.7582357471801	0.0787074051875189	0.955803933352855
leptidea_sinapisG00000002392	66.4481395292897	1.31176381388574	0.827546709714625	1.58512359300914	0.112938256104733	0.957787952889852
leptidea_sinapisG00000007286	25.4284399892266	1.33780417548982	0.765028324063403	1.74869888265595	0.080343083294122	0.955955071587324
leptidea_sinapisG00000007284	322.891369812479	1.06865687412957	0.843279009271641	1.26726369609578	0.205061016933858	0.96302385764445
leptidea_sinapisG00000001709	16.3399360363816	1.53130936042479	1.19300949738016	1.28356845757518	0.199292992218743	0.96302385764445
leptidea_sinapisG00000014428	34.1418517318681	-1.21203324014039	0.888834774470143	-1.36362041062459	0.172687064859439	0.957787952889852
leptidea_sinapisG00000014429	56.0833933728665	1.29266611974058	0.711861042459712	1.81589670264017	0.0693862192265193	0.955803933352855
leptidea_sinapisG00000010552	10.1904077560841	-1.29777653207887	0.920784464972075	-1.40942487786023	0.158709572116315	0.957787952889852
leptidea_sinapisG00000015084	676.724659632747	-2.08747897854651	0.869982089730042	-2.39945052109551	NA	NA
leptidea_sinapisG00000011797	36.7646026944733	1.51413921305829	0.856146865343622	1.76855078766256	0.0769688695643815	0.955803933352855
leptidea_sinapisG00000000366	11.8655882851774	-1.24585709482824	0.717946180664607	-1.73530708621493	0.0826864272850922	0.957787952889852
leptidea_sinapisG00000005563	19.8916240791895	1.26673129944661	0.890182265093967	1.42300217508029	0.154735524717804	0.957787952889852
leptidea_sinapisG00000012960	69.6865604701378	1.36145928248046	1.57450996453772	0.864687625448082	0.387210263222374	0.976944502081233
leptidea_sinapisG00000006877	13.3650853710276	2.08874935510553	1.35935385253004	1.53657515386295	NA	NA
leptidea_sinapisG00000000458	18.4626842441279	1.40607185970796	0.631950075322658	2.22497300754343	0.0260830502420475	0.871896756190012
leptidea_sinapisG00000000640	519.146669809413	1.17443658088458	0.48594056593197	2.41683173462203	0.0156562527002446	0.821797973034344
leptidea_sinapisG00000007076	59.9621252863606	1.03816887607332	0.950914488724427	1.09175839508549	0.274939310552758	0.97170123395234
leptidea_sinapisG00000004185	31.207647022407	1.43882845747697	1.45742966042365	0.98723698065725	0.323526476604496	0.974601566365582
leptidea_sinapisG00000004182	49.875617274307	-1.35190306795414	0.46087739101767	-2.93332477205918	0.00335352893595288	0.622600861114111
