baseMean log2FoldChange lfcSE stat pvalue padj Cohort
leptidea_sinapisG00000005125 12.4433303678543 3.38638310181308 0.73163555146746 4.62851086858878 3.6830453744975e-06 0.00401497983887409 catIII
leptidea_sinapisG00000002514 288.796760145837 -1.42480922301367 0.362533610489606 -3.93014380401708 8.4895072427913e-05 0.0238829008594784 catIII
leptidea_sinapisG00000012003 152.600096313313 -1.8999979763434 0.50490768594261 -3.76306011820023 0.000167846832090661 0.031182370553209 catIII
leptidea_sinapisG00000002341 122.015267788809 3.31793377841123 0.881782764356803 3.76275644356852 0.000168050844628004 0.031182370553209 catIII
leptidea_sinapisG00000012827 92.0355582269406 -1.54568995844735 0.342714589771416 -4.51013760306585 6.47855882526845e-06 0.00513631922865147 catIII
leptidea_sinapisG00000011566 48.9079339792596 -4.00767308510143 1.13531630367299 -3.53000575446309 0.000415550628585233 0.0489732031336732 catIII
leptidea_sinapisG00000007536 72.1012416232313 -2.65622238241509 0.710249041869028 -3.73984648458689 0.000184132676086528 0.033454605586471 catIII
leptidea_sinapisG00000002932 19.5186897750182 -3.05628977431131 0.839099211175266 -3.64234614168041 0.000270164456640583 0.0413351618660092 catIII
leptidea_sinapisG00000010550 36.7305964935404 1.40485284500248 0.387700351414231 3.62355318966809 0.000290583412791852 0.0436927231544438 catIII
leptidea_sinapisG00000005139 26.8179494933709 -2.41021512453671 0.611594515985494 -3.94087105351657 8.11862618817967e-05 0.0238829008594784 catIII
leptidea_sinapisG00000007095 118.450414489167 -1.75915552775634 0.415146186271026 -4.2374363198603 2.26086513848787e-05 0.0116330979109927 catIII
leptidea_sinapisG00000004533 25.7813446333559 -2.09802226896845 0.439566327968841 -4.77293672302663 1.81558847571651e-06 0.00342264529984113 catIII
leptidea_sinapisG00000010484 62.0144252594417 -1.81059953685321 0.504915918834616 -3.5859426675083 0.0003358627479205 0.0458565426388051 catIII
leptidea_sinapisG00000015550 17.6420044094072 -1.42234821735481 0.368761076444673 -3.85709964584132 0.000114740395746974 0.0263329208239305 catIII
leptidea_sinapisG00000004337 73.1137933859059 -1.56344492189575 0.413790419130994 -3.77834973844769 0.000157871063330568 0.0310856771521253 catIII
leptidea_sinapisG00000000140 15.9701750059978 1.38226164252273 0.357703974882603 3.8642613434094 0.000111425872672147 0.0262633793398322 catIII
