baseMean log2FoldChange lfcSE stat pvalue padj Cohort
leptidea_sinapisG00000002514 361.091878844678 -1.46102041807372 0.387055165678411 -3.77470848506288 0.00016019488510258 0.0498526482439228 sweVm
leptidea_sinapisG00000013360 102.107446012943 -1.09854741379626 0.267903712883957 -4.10053075401795 4.1220364882877e-05 0.0174924239339336 sweVm
leptidea_sinapisG00000011566 65.8264652975563 -6.18538229007114 1.42667108605621 -4.33553490396274 1.45406098449266e-05 0.0104423948855565 sweVm
leptidea_sinapisG00000001704 123.319662947794 -1.26680536306968 0.295496182538034 -4.28704476717437 1.81065814029571e-05 0.0116375605703696 sweVm
leptidea_sinapisG00000002427 144.122992369251 5.79469661311411 1.39927757648346 4.1412059411949 3.45484588271757e-05 0.0169760216637112 sweVm
leptidea_sinapisG00000001345 22.467609192097 -2.30019369481698 0.454305412984684 -5.06309990828685 4.12493538625407e-07 0.00136265139507434 sweVm
leptidea_sinapisG00000015271 44.8546496516298 6.35579258771183 1.24723186091904 5.09591904028853 3.47053430335166e-07 0.00136265139507434 sweVm
leptidea_sinapisG00000010427 18.8310827013486 -2.53452834776262 0.543326025908051 -4.66483883875562 3.08859006175026e-06 0.00334871280250541 sweVm
leptidea_sinapisG00000009258 13.9298447185687 -3.35392064221174 0.720384032473864 -4.65573984294747 3.22819357568003e-06 0.00334871280250541 sweVm
leptidea_sinapisG00000005301 64.8633423746263 -6.23596661911819 1.36466717379966 -4.56958791040259 4.8868415079054e-06 0.00456235523178048 sweVm
leptidea_sinapisG00000013252 12.1472251428235 -4.06009600606999 0.987952505796329 -4.1096064661503 3.96333956875284e-05 0.0174924239339336 sweVm
leptidea_sinapisG00000009745 18.3278584048409 5.03860633561244 1.29273039644325 3.89764667828296 9.713199148905e-05 0.0323865811622061 sweVm
leptidea_sinapisG00000014270 132.79145574437 5.67365834379188 1.19494128627906 4.74806453583936 2.05372510303724e-06 0.00273908250885081 sweVm
leptidea_sinapisG00000006182 378.245237139258 -2.45416433526577 0.62481485899686 -3.92782645919454 8.5717024766127e-05 0.0307790055083293 sweVm
leptidea_sinapisG00000003485 18.4849460621618 -2.5147124341123 0.614956699708458 -4.08925121932079 4.32767947651346e-05 0.0175666154750999 sweVm
leptidea_sinapisG00000001573 27.6774649633721 4.8074331895591 1.12629275192477 4.26836910860295 1.96907313870809e-05 0.0116375605703696 sweVm
leptidea_sinapisG00000007048 139.515715317413 -3.67569454530576 0.735655078003647 -4.99649177340082 5.83826647418312e-07 0.00136265139507434 sweVm
leptidea_sinapisG00000012014 13.0374132155938 -4.0372580065969 0.963547910320823 -4.18999196962884 2.78964326973234e-05 0.0153200644507183 sweVm
leptidea_sinapisG00000010660 14.6769616404805 -3.1068671268673 0.815809635608547 -3.8083236471579 0.000139912074798221 0.0450420389764203 sweVm
leptidea_sinapisG00000001370 111.371518159058 5.10664870506629 1.30987438332893 3.89857895540196 9.67588518255772e-05 0.0323865811622061 sweVm
leptidea_sinapisG00000004446 69.7022774532473 -2.72627485781328 0.6700925964719 -4.06850466960443 4.73158130195743e-05 0.0184058512646144 sweVm
leptidea_sinapisG00000009869 18.3134291251113 -2.02070324771778 0.456928734376645 -4.42235975917444 9.76287178531191e-06 0.00759551424897267 sweVm
leptidea_sinapisG00000007168 14.3558200614468 -4.21181238821631 0.930399232626908 -4.52688721198168 5.98588670191979e-06 0.00508038529537483 sweVm
leptidea_sinapisG00000014023 34.26964184875 -3.27837175728735 0.669643569043182 -4.89569661957874 9.79580922912809e-07 0.00161261221832233 sweVm
leptidea_sinapisG00000004842 274.081075897161 6.65322754766912 1.31825889960062 5.04698094561303 4.48846094910813e-07 0.00136265139507434 sweVm
